time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,0,0,.fix_qua,.zone_num,.zone_letter
2022/02/16/19:15:08.729925,28797,1645056908,727934360,,671941.451144327,4689632.40403247,5,42,T
2022/02/16/19:15:08.729942,28798,1645056908,727934360,,671941.451144327,4689632.40403247,5,42,T
2022/02/16/19:15:08.928212,28799,1645056908,925616502,,671941.432502842,4689632.37833973,5,42,T
2022/02/16/19:15:08.928259,28800,1645056908,925616502,,671941.432502842,4689632.37833973,5,42,T
2022/02/16/19:15:09.126408,28801,1645056909,123456001,,671941.425734827,4689632.35683505,5,42,T
2022/02/16/19:15:09.126468,28802,1645056909,123456001,,671941.425734827,4689632.35683505,5,42,T
2022/02/16/19:15:09.329263,28803,1645056909,326081991,,671941.432955002,4689632.34309584,5,42,T
2022/02/16/19:15:09.329318,28804,1645056909,326081991,,671941.432955002,4689632.34309584,5,42,T
2022/02/16/19:15:09.513787,28805,1645056909,513047218,,671941.417690187,4689632.3256503,5,42,T
2022/02/16/19:15:09.513905,28806,1645056909,513047218,,671941.417690187,4689632.3256503,5,42,T
2022/02/16/19:15:09.713842,28807,1645056909,713469982,,671941.401159882,4689632.309287,5,42,T
2022/02/16/19:15:09.714176,28808,1645056909,713469982,,671941.401159882,4689632.309287,5,42,T
2022/02/16/19:15:09.916914,28809,1645056909,915932416,,671941.388580819,4689632.28337197,5,42,T
2022/02/16/19:15:09.917254,28810,1645056909,915932416,,671941.388580819,4689632.28337197,5,42,T
2022/02/16/19:15:10.114532,28811,1645056910,113874435,,671941.391479007,4689632.283072,5,42,T
2022/02/16/19:15:10.114554,28812,1645056910,113874435,,671941.391479007,4689632.283072,5,42,T
2022/02/16/19:15:10.321415,28813,1645056910,319825649,,671941.396080204,4689632.29190593,5,42,T
2022/02/16/19:15:10.322724,28814,1645056910,319825649,,671941.396080204,4689632.29190593,5,42,T
2022/02/16/19:15:10.526131,28815,1645056910,524296998,,671941.428150474,4689632.32572151,5,42,T
2022/02/16/19:15:10.526476,28816,1645056910,524296998,,671941.428150474,4689632.32572151,5,42,T
2022/02/16/19:15:10.726367,28817,1645056910,724379539,,671941.513691555,4689632.33468675,5,42,T
2022/02/16/19:15:10.726443,28818,1645056910,724379539,,671941.513691555,4689632.33468675,5,42,T
2022/02/16/19:15:10.929134,28819,1645056910,926804780,,671941.642003959,4689632.39016227,5,42,T
2022/02/16/19:15:10.930790,28820,1645056910,926804780,,671941.642003959,4689632.39016227,5,42,T
2022/02/16/19:15:11.131993,28821,1645056911,131575345,,671941.770696727,4689632.46939787,5,42,T
2022/02/16/19:15:11.132226,28822,1645056911,131575345,,671941.770696727,4689632.46939787,5,42,T
2022/02/16/19:15:11.333388,28823,1645056911,330966472,,671941.952365161,4689632.60003307,5,42,T
2022/02/16/19:15:11.333967,28824,1645056911,330966472,,671941.952365161,4689632.60003307,5,42,T
2022/02/16/19:15:11.531376,28825,1645056911,529485464,,671942.072715413,4689632.74994497,5,42,T
2022/02/16/19:15:11.531909,28826,1645056911,529485464,,671942.072715413,4689632.74994497,5,42,T
2022/02/16/19:15:11.730536,28827,1645056911,728656530,,671942.210360212,4689632.90751795,5,42,T
2022/02/16/19:15:11.731406,28828,1645056911,728656530,,671942.210360212,4689632.90751795,5,42,T
2022/02/16/19:15:11.927006,28829,1645056911,925117492,,671942.349599255,4689633.05622356,5,42,T
2022/02/16/19:15:11.927309,28830,1645056911,925117492,,671942.349599255,4689633.05622356,5,42,T
2022/02/16/19:15:12.126626,28831,1645056912,124081134,,671942.492441056,4689633.22078957,5,42,T
2022/02/16/19:15:12.127432,28832,1645056912,124081134,,671942.492441056,4689633.22078957,5,42,T
2022/02/16/19:15:12.327175,28833,1645056912,324876308,,671942.660196162,4689633.45276606,5,42,T
2022/02/16/19:15:12.327865,28834,1645056912,324876308,,671942.660196162,4689633.45276606,5,42,T
2022/02/16/19:15:12.530537,28835,1645056912,527854919,,671942.806199168,4689633.70165054,5,42,T
2022/02/16/19:15:12.530804,28836,1645056912,527854919,,671942.806199168,4689633.70165054,5,42,T
2022/02/16/19:15:12.730913,28837,1645056912,729140758,,671942.910967967,4689633.90870128,5,42,T
2022/02/16/19:15:12.732107,28838,1645056912,729140758,,671942.910967967,4689633.90870128,5,42,T
2022/02/16/19:15:12.932313,28839,1645056912,929547548,,671943.026846982,4689634.08373859,5,42,T
