time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,0,0,.fix_qua,.zone_num,.zone_letter
2022/02/16/19:11:18.322646,26554,1645056678,320224523,54,671933.353057383,4689607.83125426,5,42,T
2022/02/16/19:11:18.522722,26555,1645056678,520479679,55,671933.416975954,4689608.036931,5,42,T
2022/02/16/19:11:18.522901,26556,1645056678,520479679,56,671933.416975954,4689608.036931,5,42,T
2022/02/16/19:11:18.721972,26557,1645056678,719894170,57,671933.531614888,4689608.17278608,5,42,T
2022/02/16/19:11:18.722291,26558,1645056678,719894170,58,671933.531614888,4689608.17278608,5,42,T
2022/02/16/19:11:18.922054,26559,1645056678,919671058,59,671933.574856096,4689608.37962525,5,42,T
2022/02/16/19:11:18.922466,26560,1645056678,919671058,60,671933.574856096,4689608.37962525,5,42,T
2022/02/16/19:11:19.133880,26561,1645056679,131453514,61,671933.704561207,4689608.57467031,5,42,T
2022/02/16/19:11:19.134262,26562,1645056679,131453514,62,671933.704561207,4689608.57467031,5,42,T
2022/02/16/19:11:19.333936,26563,1645056679,332339525,63,671933.793458843,4689608.75535393,5,42,T
2022/02/16/19:11:19.335581,26564,1645056679,332339525,64,671933.793458843,4689608.75535393,5,42,T
2022/02/16/19:11:19.535210,26565,1645056679,533075571,65,671933.901843674,4689608.92167168,5,42,T
2022/02/16/19:11:19.536638,26566,1645056679,533075571,66,671933.901843674,4689608.92167168,5,42,T
2022/02/16/19:11:19.734265,26567,1645056679,732387065,67,671933.95400203,4689609.14097621,5,42,T
2022/02/16/19:11:19.734477,26568,1645056679,732387065,68,671933.95400203,4689609.14097621,5,42,T
2022/02/16/19:11:19.933618,26569,1645056679,931667566,69,671934.041639265,4689609.35057509,5,42,T
2022/02/16/19:11:19.934594,26570,1645056679,931667566,70,671934.041639265,4689609.35057509,5,42,T
2022/02/16/19:11:20.133199,26571,1645056680,131310701,71,671934.069160381,4689609.55851282,5,42,T
2022/02/16/19:11:20.133571,26572,1645056680,131310701,72,671934.069160381,4689609.55851282,5,42,T
2022/02/16/19:11:20.332433,26573,1645056680,330660343,73,671934.150695131,4689609.72509928,5,42,T
2022/02/16/19:11:20.332617,26574,1645056680,330660343,74,671934.150695131,4689609.72509928,5,42,T
